Date;Nb_messages;Nb_comments;Nb_likes
1/1/2013;8295;1529668;3263818
1/2/2013;9461;217847;156552
1/3/2013;3392;93184;1277776
1/4/2013;9952;602363;1854436
1/5/2013;2389;184134;888062
1/6/2013;3999;784648;1279483
1/7/2013;5032;809666;807194
1/8/2013;8176;1253034;3164953
1/9/2013;7499;757065;891284
1/10/2013;5086;567930;31541
1/11/2013;1503;17620;160025
1/12/2013;1249;210813;28454
1/13/2013;3027;178260;174592
1/14/2013;8487;571742;1241467
1/15/2013;9197;1523323;2590689
1/16/2013;1410;119114;81481
1/17/2013;9533;664346;1672231
1/18/2013;7811;1050199;1283735
1/19/2013;9893;1961070;1326288
1/20/2013;98;3079;4276
1/21/2013;185;7035;30879
1/22/2013;6894;1356267;1094410
